#,label ,text,label_num
1,s,"[국제발신] 홍인택님, [결제] 승인코드 7283 351.130원 본인요청 아닐시 고객센터: 050-7349-3939",1
2,s,[국제발신] 홍인택님 [이베이] 결제안내 $518USD 완료 본인신청아닐시 소비자보호원(050-7349-****)신고 바랍니다.,1
3,s,"[국외발신] 홍인택님 [결제] 인증코드: 9**4 KRW 969,000원 [승인] 추석전 물류 관련 배송지연 문의 070-7678-****",1
4,s,"[국외발신] 홍인택님 [결제] 승인코드 3**1 443,500원 승인 본인요청 아닐시 고객센터 : 02-3453-****",1
5,ns,"[web발신] 10/26 13:24 승인: 7,210원 복지적용 7210원 잔여한도 293153 PAYCO",0
6,ns,"[web발신] 10/26 13:24 승인: 7,210원 복지적용 7210원 잔여한도 293153 버거운녀석들",0
7,ns,[web발신] [신한은행] 10/25 08:51:42 [110-***-3412144] 지급 10000원 (홍인택),0
8,ns,[web발신] [신한은행] 10/25 08:51:42 [110-***-3412144] 지급 50000원 (홍인택),0
9,ns,"[web발신] 10/26 13:24 승인: 7,210원 복지적용 7210원 잔여한도 293153 씨유",0
10,s,"[국제발신]귀하의 계정 RDAC880 비밀번호 ac8808, 잔액은 $2367840.60[dk.usdnys.com]입니다.",1
11,ns,"[Web발신] [국세청] 현금영수증 취소 160131761 10월25일 에고이즘 1건 38,900원 (☎126)",0
163,s,"[Web발신] (광고) 가정용  인터넷+방송 통신사가입 580,000원 추가지원금 최대입금 무료거부 0808551292",1
164,s,[Web발신] (광고) 가정용 인터넷 묶음 추가 지원금 증정 무료거부 0808551292,1
165,s,[Web발신] (광고) 핸드폰 대박 할인 변경 기회 무료거부 0808551292,1
166,s,[Web발신] (광고) 최상의 금리로 모시겠습니다. 최대 5000만원까지 무이자 무료거부 0808551292,1
167,s,[Web발신] (광고) 오늘 바로 대출 가능 최대 5000만원까지 무이자 무료거부 0808551292,1
168,s,[Web발신] (광고) 급전 필요시 최대 5000만원까지 무이자 무료거부 0808551292,1
169,s,암호화폐에 투자하고 $3000 이상을 벌고 싶다면 다음으로 연락하십시오 http://bit.ly/2BunFl2,1
170,s,온라인으로 암호화폐에 투자하고 $2000 이상을 벌고 싶다면 다음으로 연락하십시오 http://bit.ly/2rMnAol,1
171,s,온라인으로 암호화폐에 투자하고 $1000 이상을 벌고 싶다면 다음으로 연락하십시오 http://rebrand.ly/682a04,1
172,ns,"[Web발신] [신한체크승인] 김*리(7753) 10/16 15:57 (금액)1,000원 (주)닥터로빈 고척점",0
173,ns,"[Web발신] [현대체크승인] 김*리(7753) 10/16 15:57 (금액)1,001원 (주)닥터로빈 고척점",0
174,ns,"[Web발신] [하나체크승인] 김*리(7753) 10/16 15:57 (금액)1,002원 (주)닥터로빈 고척점",0
175,ns,"[Web발신] [삼성체크승인] 김*리(7753) 10/16 15:57 (금액)1,003원 (주)닥터로빈 고척점",0
176,ns,"[Web발신] [농협체크승인] 김*리(7753) 10/16 15:57 (금액)1,004원 (주)닥터로빈 고척점",0
177,ns,[Web발신] [한국투자] 김여리님 08/25 TSLA/테슬라 0.31603주 액면분할출고 ,0
178,ns,[Web발신] [신한카드] 인증번호 [754166] 본인확인을 위해 입력해주세요.,0
179,ns,[Web발신] [국민카드] 인증번호 [55154] 본인확인을 위해 입력해주세요.,0
180,ns,[Web발신] [하나카드] 인증번호 [754167] 본인확인을 위해 입력해주세요.,0
181,ns,[Web발신] [롯데카드] 인증번호 [55155] 본인확인을 위해 입력해주세요.,0
182,ns,[Web발신] [삼성카드] 인증번호 [754168] 본인확인을 위해 입력해주세요.,0
183,ns,[Web발신] [현대카드] 인증번호 [55156] 본인확인을 위해 입력해주세요.,0
184,ns,[국제발신] Apple ID 코드: 316555. 코드를 공유하지 마십시오.,0
185,ns,[국제발신] Apple ID 코드: 215145. 코드를 공유하지 마십시오.,0
186,ns,[국제발신] Apple ID 코드: 156174. 코드를 공유하지 마십시오.,0
187,ns,[국제발신] (2/2) http://t.trip.com/cMuJadn ※ 체크인 날짜: 2022년 7월 2일,0
188,ns,[국제발신] (2/2) http://t.trip.com/sdafas ※ 체크인 날짜: 2022년 10월 2일,0
189,ns,"[Web발신] 김*리님, 우체국카드 (9784)의 유효기한이 22년 06월 만료 예정입니다.(현금카드도 만료)",0
190,ns,"[Web발신] 김*리님, 신한카드 (9784)의 유효기한이 22년 07월 만료 예정입니다.(현금카드도 만료)",0
191,ns,"[Web발신] 김*리님, 하나카드 (9784)의 유효기한이 22년 08월 만료 예정입니다.(현금카드도 만료)",0
192,s,[Web 발신] 주문하신 상품 배송불가(도로명 불일치) 주소지 확인 및 수정 >>https://goo.go/ekBs2,1
